Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDO57,20.75,Low Fat,Snack Foods,161.3578,OUT018,2009,Tier 3,Supermarket Type2,1.5518142696333057
DRK01,12.8,Low Fat,Soft Drinks,94.6436,OUT027,1985,Tier 3,Supermarket Type3,0.0844181728801271
FDC15,18.1,Low Fat,Dairy,156.5288,OUT045,2002,Tier 2,Supermarket Type1,-0.0905866062017083
NCI42,18.75,Low Fat,Household,208.3954,OUT013,1987,Tier 3,Supermarket Type1,0.3953677354424603
FDM04,9.195,Regular,Frozen Foods,51.4666,OUT045,2002,Tier 2,Supermarket Type1,-0.9285442519733078
DRC27,13.8,Low Fat,Dairy,246.9802,OUT049,1999,Tier 1,Supermarket Type1,2.4617766787689166
FDC53,12.8,Low Fat,Frozen Foods,100.4384,OUT019,1985,Tier 1,Grocery Store,-1.2425212486803316
FDB16,8.21,Low Fat,Dairy,86.0198,OUT046,1997,Tier 1,Supermarket Type1,-0.3432212977790909
DRD15,12.8,Low Fat,Dairy,232.6642,OUT027,1985,Tier 3,Supermarket Type3,1.7850880664009
FDQ15,20.35,Regular,Meat,80.1276,OUT045,2002,Tier 2,Supermarket Type1,-0.5136276768699847
FDX19,19.1,Low Fat,Fruits and Vegetables,233.5958,OUT049,1999,Tier 1,Supermarket Type1,0.1540636620521348
NCN41,17.0,Low Fat,Health and Hygiene,122.373,OUT046,1997,Tier 1,Supermarket Type1,0.3159402765805284
FDT11,5.94,Regular,Breads,186.4556,OUT010,1998,Tier 3,Grocery Store,-0.9959078075575748
FDP36,10.395,Regular,Baking Goods,48.6008,OUT046,1997,Tier 1,Supermarket Type1,-0.8505645703843678
FDM58,12.8,Regular,Snack Foods,112.2544,OUT027,1985,Tier 3,Supermarket Type3,1.1771238658715837
FDR58,6.675,Low Fat,Snack Foods,91.5462,OUT010,1998,Tier 3,Grocery Store,-1.2574507828995534
FDJ33,8.895,Regular,Snack Foods,124.373,OUT045,2002,Tier 2,Supermarket Type1,-0.2585592275447582
FDL44,18.25,Low Fat,Fruits and Vegetables,162.8894,OUT049,1999,Tier 1,Supermarket Type1,0.1893696854302377
FDJ28,12.8,Low Fat,Frozen Foods,190.9162,OUT027,1985,Tier 3,Supermarket Type3,2.381485877962833
FDR27,12.8,Regular,Meat,130.7942,OUT027,1985,Tier 3,Supermarket Type3,0.6146565892569245
FDV33,9.6,Regular,Snack Foods,260.2304,OUT017,2007,Tier 2,Supermarket Type1,1.144064996040266
FDV38,19.25,Low Fat,Dairy,52.7956,OUT017,2007,Tier 2,Supermarket Type1,-0.7593521148600819
DRM49,6.11,Regular,Soft Drinks,43.0086,OUT013,1987,Tier 3,Supermarket Type1,-1.042959943513828
DRG13,17.25,Low Fat,Soft Drinks,165.2526,OUT049,1999,Tier 1,Supermarket Type1,0.221299412092481
FDJ48,11.3,Low Fat,Baking Goods,248.0118,OUT018,2009,Tier 3,Supermarket Type2,0.2151254903585118
FDJ52,7.145,Low Fat,Frozen Foods,159.8578,OUT049,1999,Tier 1,Supermarket Type1,0.0953564098498373
FDO51,6.785,Regular,Meat,44.6112,OUT049,1999,Tier 1,Supermarket Type1,-0.9125419675806496
FDX13,12.8,Low Fat,Canned,249.1092,OUT027,1985,Tier 3,Supermarket Type3,3.966581687424865
DRF15,18.35,Low Fat,Dairy,151.834,OUT035,2004,Tier 2,Supermarket Type1,0.117546599866074
FDX37,16.2,Low Fat,Canned,100.47,OUT046,1997,Tier 1,Supermarket Type1,-0.3490599671858677
NCM26,20.5,Low Fat,Others,153.434,OUT045,2002,Tier 2,Supermarket Type1,1.2202909630791552
FDR21,19.7,Low Fat,Snack Foods,174.937,OUT010,1998,Tier 3,Grocery Store,-0.7891374119333064
FDL36,15.1,Low Fat,Baking Goods,90.283,OUT013,1987,Tier 3,Supermarket Type1,-0.4524540118847785
FDS12,12.8,Low Fat,Baking Goods,125.4362,OUT019,1985,Tier 1,Grocery Store,-0.8715865675997683
FDH19,12.8,Low Fat,Meat,173.1738,OUT027,1985,Tier 3,Supermarket Type3,3.370875745960376
FDQ31,5.785,Regular,Fruits and Vegetables,85.8856,OUT017,2007,Tier 2,Supermarket Type1,-0.5826814138348364
FDE40,15.6,Regular,Dairy,60.5194,OUT049,1999,Tier 1,Supermarket Type1,-0.8536788805635399
DRM23,16.6,Low Fat,Hard Drinks,173.9422,OUT010,1998,Tier 3,Grocery Store,-1.2492986681660203
FDO32,6.36,Low Fat,Fruits and Vegetables,47.506,OUT018,2009,Tier 3,Supermarket Type2,-0.666111184891727
FDF57,14.5,Regular,Fruits and Vegetables,168.6448,OUT045,2002,Tier 2,Supermarket Type1,0.5175306205398883
FDP57,17.5,Low Fat,Snack Foods,103.699,OUT018,2009,Tier 3,Supermarket Type2,-0.6920114432162701
FDX26,12.8,Low Fat,Dairy,180.4292,OUT027,1985,Tier 3,Supermarket Type3,1.2410111697387896
NCA53,11.395,Low Fat,Health and Hygiene,50.3034,OUT049,1999,Tier 1,Supermarket Type1,-0.7308618307030846
NCV53,8.27,Low Fat,Health and Hygiene,240.488,OUT035,2004,Tier 2,Supermarket Type1,1.4010632981825866
FDM10,12.8,Low Fat,Snack Foods,215.1218,OUT027,1985,Tier 3,Supermarket Type3,0.7173942806109452
NCJ30,5.82,Low Fat,Household,169.179,OUT049,1999,Tier 1,Supermarket Type1,-0.0401882753819378
FDK14,6.98,Low Fat,Canned,83.2934,OUT049,1999,Tier 1,Supermarket Type1,-0.6341756429385128
FDX34,6.195,Low Fat,Snack Foods,122.2098,OUT017,2007,Tier 2,Supermarket Type1,-0.2590196173901729
FDV55,17.75,Low Fat,Fruits and Vegetables,145.7444,OUT017,2007,Tier 2,Supermarket Type1,-0.1177361997204203
FDL50,12.15,Regular,Canned,126.1046,OUT045,2002,Tier 2,Supermarket Type1,-0.2713383011117003
FDK48,7.445,Low Fat,Baking Goods,73.3354,OUT018,2009,Tier 3,Supermarket Type2,-0.7251853356390019
FDW31,11.35,Regular,Fruits and Vegetables,197.9742,OUT013,1987,Tier 3,Supermarket Type1,-0.7157533466804344
FDA14,12.8,Low Fat,Dairy,147.176,OUT019,1985,Tier 1,Grocery Store,-0.9812309945070004
FDW59,13.15,Low Fat,Breads,84.9566,OUT018,2009,Tier 3,Supermarket Type2,-0.7050807046177155
FDF21,10.3,Regular,Fruits and Vegetables,191.153,OUT035,2004,Tier 2,Supermarket Type1,-0.2538654065594176
NCO43,5.5,Low Fat,Others,103.1016,OUT045,2002,Tier 2,Supermarket Type1,-0.0488216948234521
FDD26,8.71,Regular,Canned,183.3924,OUT035,2004,Tier 2,Supermarket Type1,0.4389665036221077
FDA22,7.435,Low Fat,Starchy Foods,165.8158,OUT017,2007,Tier 2,Supermarket Type1,0.0167600466860048
FDQ39,14.8,Low Fat,Meat,189.2846,OUT045,2002,Tier 2,Supermarket Type1,-0.2460953290620546
FDX08,12.85,Low Fat,Fruits and Vegetables,179.3318,OUT045,2002,Tier 2,Supermarket Type1,-0.5422216159059964
FDB51,6.92,Low Fat,Dairy,61.4852,OUT018,2009,Tier 3,Supermarket Type2,-0.5089829510561662
NCI30,20.25,Low Fat,Household,245.546,OUT013,1987,Tier 3,Supermarket Type1,-0.2430736322575246
DRL23,12.8,Low Fat,Hard Drinks,107.0938,OUT027,1985,Tier 3,Supermarket Type3,0.2272289098172747
NCY53,20.0,Low Fat,Health and Hygiene,113.3544,OUT046,1997,Tier 1,Supermarket Type1,0.3068751861669383
FDP27,8.155,Low Fat,Meat,190.153,OUT013,1987,Tier 3,Supermarket Type1,1.8375804531474305
DRN47,12.8,Low Fat,Hard Drinks,181.166,OUT019,1985,Tier 1,Grocery Store,-1.1080618147915315
NCG43,20.2,Low Fat,Household,94.0462,OUT035,2004,Tier 2,Supermarket Type1,-0.3674276648604771
DRM48,12.8,Low Fat,Soft Drinks,39.1848,OUT027,1985,Tier 3,Supermarket Type3,-0.9984978333900292
NCF07,9.0,Low Fat,Household,101.8016,OUT046,1997,Tier 1,Supermarket Type1,-0.2456636580899789
NCA05,20.75,Low Fat,Health and Hygiene,150.1734,OUT018,2009,Tier 3,Supermarket Type2,-0.4593651354414526
FDX32,15.1,Regular,Fruits and Vegetables,144.7786,OUT017,2007,Tier 2,Supermarket Type1,0.3250053669941184
FDQ11,12.8,Regular,Breads,256.3988,OUT019,1985,Tier 1,Grocery Store,-1.1944764547124045
FDA27,12.8,Regular,Dairy,254.7672,OUT019,1985,Tier 1,Grocery Store,-0.9571215749011294
FDS52,8.89,Low Fat,Frozen Foods,99.3016,OUT045,2002,Tier 2,Supermarket Type1,-0.9674175234005772
FDZ52,19.2,Low Fat,Frozen Foods,110.2886,OUT046,1997,Tier 1,Supermarket Type1,-0.8564780835771181
FDZ23,17.75,Regular,Baking Goods,187.324,OUT017,2007,Tier 2,Supermarket Type1,0.7455389051991773
FDC32,18.35,Low Fat,Fruits and Vegetables,94.0462,OUT035,2004,Tier 2,Supermarket Type1,-1.0010878592224832
NCP41,16.6,Low Fat,Health and Hygiene,109.8596,OUT018,2009,Tier 3,Supermarket Type2,-0.3121409877896393
NCH54,12.8,Low Fat,Household,158.392,OUT019,1985,Tier 1,Grocery Store,-1.257500416635459
FDW08,12.1,Low Fat,Fruits and Vegetables,106.528,OUT018,2009,Tier 3,Supermarket Type2,-0.6013605390803696
FDA07,7.55,Regular,Fruits and Vegetables,123.5072,OUT046,1997,Tier 1,Supermarket Type1,-0.1172628891864554
FDX47,12.8,Regular,Breads,156.5288,OUT027,1985,Tier 3,Supermarket Type3,1.7970033817723128
FDT39,6.26,Regular,Meat,152.8366,OUT017,2007,Tier 2,Supermarket Type1,1.0886313165960615
FDW28,18.25,Low Fat,Frozen Foods,196.7452,OUT017,2007,Tier 2,Supermarket Type1,0.7248979534441482
FDU11,4.785,Low Fat,Breads,119.7098,OUT045,2002,Tier 2,Supermarket Type1,-0.1891147607480601
FDO20,12.85,Regular,Fruits and Vegetables,252.0382,OUT018,2009,Tier 3,Supermarket Type2,1.2565513247335154
FDV13,17.35,Regular,Canned,88.0856,OUT049,1999,Tier 1,Supermarket Type1,-0.5063929252237118
FDA48,12.1,Low Fat,Baking Goods,221.4114,OUT046,1997,Tier 1,Supermarket Type1,1.945066525194284
NCF18,18.35,Low Fat,Household,189.8504,OUT035,2004,Tier 2,Supermarket Type1,0.4384261096289907
FDU24,6.78,Regular,Baking Goods,95.012,OUT049,1999,Tier 1,Supermarket Type1,-0.0315548559404233
FDK34,13.35,Low Fat,Snack Foods,238.3564,OUT046,1997,Tier 1,Supermarket Type1,0.7137563312301187
FDB32,20.6,Low Fat,Fruits and Vegetables,93.3778,OUT018,2009,Tier 3,Supermarket Type2,-0.5089829510561662
FDM24,6.135,Regular,Baking Goods,150.1366,OUT018,2009,Tier 3,Supermarket Type2,-0.1758405433253129
DRD24,13.85,Low Fat,Soft Drinks,142.5154,OUT035,2004,Tier 2,Supermarket Type1,0.0390426647719867
FDV60,20.2,Regular,Baking Goods,195.011,OUT035,2004,Tier 2,Supermarket Type1,0.421699664739079
FDC08,12.8,Regular,Fruits and Vegetables,225.272,OUT027,1985,Tier 3,Supermarket Type3,1.7210292906869866
FDA44,12.8,Low Fat,Fruits and Vegetables,57.793,OUT027,1985,Tier 3,Supermarket Type3,-0.2236484385141174
FDL51,12.8,Regular,Dairy,213.5876,OUT027,1985,Tier 3,Supermarket Type3,1.9632198532985443
FDQ46,7.51,Low Fat,Snack Foods,113.5544,OUT017,2007,Tier 2,Supermarket Type1,-0.7809356634638678
FDX08,12.85,Low Fat,Fruits and Vegetables,179.3318,OUT010,1998,Tier 3,Grocery Store,-1.1232580918390478
FDG16,15.25,Low Fat,Frozen Foods,217.3192,OUT046,1997,Tier 1,Supermarket Type1,2.275294818832207
FDC38,15.7,Low Fat,Canned,132.2942,OUT049,1999,Tier 1,Supermarket Type1,0.0992414485985188
NCN26,10.85,Low Fat,Household,116.9808,OUT017,2007,Tier 2,Supermarket Type1,-0.125866687552466
DRI47,14.7,Low Fat,Hard Drinks,144.5128,OUT018,2009,Tier 3,Supermarket Type2,0.3172352894967556
FDC34,16.0,Regular,Snack Foods,156.7972,OUT017,2007,Tier 2,Supermarket Type1,0.3373220513257028
FDI12,9.395,Regular,Baking Goods,89.6856,OUT046,1997,Tier 1,Supermarket Type1,-0.791295766793685
NCX05,15.2,Low Fat,Health and Hygiene,116.3492,OUT013,1987,Tier 3,Supermarket Type1,0.2913350311722127
FDR25,17.0,Regular,Canned,265.7884,OUT045,2002,Tier 2,Supermarket Type1,1.215974253358398
FDC46,17.7,Low Fat,Snack Foods,185.0266,OUT045,2002,Tier 2,Supermarket Type1,0.3624477623262052
FDP08,20.5,Regular,Fruits and Vegetables,194.1478,OUT017,2007,Tier 2,Supermarket Type1,0.5231423431768726
NCZ06,12.8,Low Fat,Household,253.8698,OUT027,1985,Tier 3,Supermarket Type3,0.7769648747573938
NCO07,9.06,Low Fat,Others,212.856,OUT035,2004,Tier 2,Supermarket Type1,0.4372366165899165
NCO53,16.2,Low Fat,Health and Hygiene,182.1608,OUT013,1987,Tier 3,Supermarket Type1,0.0868238391837282
NCD07,12.8,Low Fat,Household,111.9518,OUT027,1985,Tier 3,Supermarket Type3,0.2980879422899518
FDI33,16.5,Low Fat,Snack Foods,90.9146,OUT035,2004,Tier 2,Supermarket Type1,-0.4141671649061706
FDX16,17.85,Low Fat,Frozen Foods,151.305,OUT017,2007,Tier 2,Supermarket Type1,0.0340490705673606
FDB60,12.8,Low Fat,Baking Goods,195.6136,OUT019,1985,Tier 1,Grocery Store,-1.0911239779437407
FDZ09,17.6,Low Fat,Snack Foods,163.0868,OUT045,2002,Tier 2,Supermarket Type1,0.0309905967784733
FDA43,10.895,Low Fat,Fruits and Vegetables,196.8794,OUT049,1999,Tier 1,Supermarket Type1,0.3242553164949935
DRF60,10.8,Low Fat,Soft Drinks,238.6564,OUT013,1987,Tier 3,Supermarket Type1,1.0177597482883678
FDW24,6.8,Low Fat,Baking Goods,49.9034,OUT046,1997,Tier 1,Supermarket Type1,-1.2350535260875215
DRI47,14.7,Low Fat,Hard Drinks,141.8128,OUT035,2004,Tier 2,Supermarket Type1,-0.1489693603450184
FDG21,12.8,Regular,Seafood,151.005,OUT019,1985,Tier 1,Grocery Store,-1.2639754812165949
FDC48,9.195,Low Fat,Baking Goods,84.1592,OUT017,2007,Tier 2,Supermarket Type1,-0.558193441872798
FDK48,7.445,Low Fat,Baking Goods,77.2354,OUT013,1987,Tier 3,Supermarket Type1,-0.6989463402780162
FDN09,14.15,Low Fat,Snack Foods,243.9828,OUT010,1998,Tier 3,Grocery Store,-0.887126722594494
FDX45,12.8,Low Fat,Snack Foods,154.663,OUT019,1985,Tier 1,Grocery Store,-1.1582160930580443
FDN13,18.6,Low Fat,Breakfast,99.8358,OUT017,2007,Tier 2,Supermarket Type1,-0.1226374310483996
FDP12,12.8,Regular,Baking Goods,36.4874,OUT027,1985,Tier 3,Supermarket Type3,-0.7093149858182842
NCP02,7.105,Low Fat,Household,59.7562,OUT049,1999,Tier 1,Supermarket Type1,-0.7021898087749676
FDA58,9.395,Low Fat,Snack Foods,236.9932,OUT035,2004,Tier 2,Supermarket Type1,1.3895059841328363
FDL24,10.3,Regular,Baking Goods,172.3422,OUT045,2002,Tier 2,Supermarket Type1,2.32839034839752
DRL60,8.52,Low Fat,Soft Drinks,153.5682,OUT010,1998,Tier 3,Grocery Store,-1.0645434921176136
FDN39,19.35,Regular,Meat,169.0816,OUT013,1987,Tier 3,Supermarket Type1,0.923301334291062
NCV41,14.35,Low Fat,Health and Hygiene,109.2228,OUT010,1998,Tier 3,Grocery Store,-1.2177866872044931
FDX36,12.8,Regular,Baking Goods,224.7404,OUT027,1985,Tier 3,Supermarket Type3,1.9485641710069364
FDJ07,7.26,Low Fat,Meat,116.215,OUT035,2004,Tier 2,Supermarket Type1,-0.1340538208309949
FDA45,12.8,Low Fat,Snack Foods,177.637,OUT027,1985,Tier 3,Supermarket Type3,2.1850755856683817
FDH47,12.8,Regular,Starchy Foods,96.8068,OUT027,1985,Tier 3,Supermarket Type3,0.2508029220610576
FDS07,12.35,Low Fat,Fruits and Vegetables,113.7518,OUT017,2007,Tier 2,Supermarket Type1,-0.032418197884575
FDB58,10.5,Regular,Snack Foods,140.6154,OUT010,1998,Tier 3,Grocery Store,-1.177209615829376
FDL08,12.8,Low Fat,Fruits and Vegetables,245.4144,OUT027,1985,Tier 3,Supermarket Type3,1.0217223159243254
NCN42,20.25,Low Fat,Household,148.6418,OUT045,2002,Tier 2,Supermarket Type1,0.3560856769835702
FDL51,20.7,Regular,Dairy,213.4876,OUT049,1999,Tier 1,Supermarket Type1,-0.1101189728582039
FDP27,8.155,Low Fat,Meat,190.853,OUT035,2004,Tier 2,Supermarket Type1,0.2382395016068996
FDO03,10.395,Regular,Meat,229.4352,OUT017,2007,Tier 2,Supermarket Type1,1.328165967113171
FDW11,12.6,Low Fat,Breads,60.4194,OUT013,1987,Tier 3,Supermarket Type1,-0.7187750434849646
FDR45,10.8,Low Fat,Snack Foods,240.5222,OUT017,2007,Tier 2,Supermarket Type1,1.583326250594833
FDT03,21.25,Low Fat,Meat,182.3608,OUT046,1997,Tier 1,Supermarket Type1,-1.0036778850549375
NCJ05,18.7,Low Fat,Health and Hygiene,151.5682,OUT035,2004,Tier 2,Supermarket Type1,-0.0760169660642222
NCB54,8.76,Low Fat,Health and Hygiene,126.2336,OUT035,2004,Tier 2,Supermarket Type1,-0.1443777878159712
FDD22,10.0,Low Fat,Snack Foods,112.6544,OUT010,1998,Tier 3,Grocery Store,-1.2344958925525749
FDZ15,12.8,Low Fat,Dairy,120.1782,OUT019,1985,Tier 1,Grocery Store,-1.1820588755776535
FDH16,10.5,Low Fat,Frozen Foods,88.783,OUT017,2007,Tier 2,Supermarket Type1,-0.0207630816385304
FDY43,14.85,Low Fat,Fruits and Vegetables,168.1474,OUT046,1997,Tier 1,Supermarket Type1,0.0598323502838588
FDL40,17.7,Low Fat,Frozen Foods,94.541,OUT045,2002,Tier 2,Supermarket Type1,-0.6725862494728628
DRL11,10.5,Low Fat,Hard Drinks,157.0946,OUT035,2004,Tier 2,Supermarket Type1,0.0711828354135972
FDM04,12.8,Regular,Frozen Foods,50.6666,OUT019,1985,Tier 1,Grocery Store,-1.302644054212398
FDT38,18.7,Low Fat,Dairy,83.3566,OUT049,1999,Tier 1,Supermarket Type1,-0.1550127539540784
FDI41,18.5,Regular,Frozen Foods,148.6418,OUT017,2007,Tier 2,Supermarket Type1,-0.2163100319888301
DRM49,6.11,Regular,Soft Drinks,43.0086,OUT049,1999,Tier 1,Supermarket Type1,-0.8983501678684628
FDJ14,10.3,Regular,Canned,77.896,OUT046,1997,Tier 1,Supermarket Type1,-0.532293183548255
NCV06,12.8,Low Fat,Household,195.2478,OUT019,1985,Tier 1,Grocery Store,-1.2354851970595977
DRD15,10.6,Low Fat,Dairy,232.8642,OUT046,1997,Tier 1,Supermarket Type1,0.8986960888827463
FDN34,12.8,Regular,Snack Foods,170.7132,OUT027,1985,Tier 3,Supermarket Type3,1.8185869303760984
FDG31,12.8,Low Fat,Meat,64.4826,OUT027,1985,Tier 3,Supermarket Type3,0.2719098374288053
FDQ04,6.4,Low Fat,Frozen Foods,39.2796,OUT049,1999,Tier 1,Supermarket Type1,-0.9061202453658256
FDT40,5.985,Low Fat,Frozen Foods,125.2678,OUT035,2004,Tier 2,Supermarket Type1,-0.7015082046019359
FDS25,12.8,Regular,Canned,110.8228,OUT019,1985,Tier 1,Grocery Store,-1.1956174212843806
DRF60,10.8,Low Fat,Soft Drinks,238.1564,OUT018,2009,Tier 3,Supermarket Type2,2.038739126134714
FDB53,12.8,Low Fat,Frozen Foods,147.5392,OUT027,1985,Tier 3,Supermarket Type3,2.0231989711399887
FDT31,19.75,Low Fat,Fruits and Vegetables,188.1872,OUT049,1999,Tier 1,Supermarket Type1,0.2326277789699152
FDO37,8.06,Low Fat,Breakfast,232.3326,OUT013,1987,Tier 3,Supermarket Type1,0.2865866504793798
NCL07,13.85,Low Fat,Others,40.548,OUT035,2004,Tier 2,Supermarket Type1,-0.9762607897975156
