Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCD06,13.0,Low Fat,Household,45.906,OUT017,2007,Tier 2,Supermarket Type1,-0.8171960251182281
FDV10,7.645,Regular,Snack Foods,42.3112,OUT035,2004,Tier 2,Supermarket Type1,-0.6704278946124843
DRJ59,11.65,Low Fat,Hard Drinks,39.1164,OUT013,1987,Tier 3,Supermarket Type1,-1.1608061188904986
FDE51,5.925,Regular,Dairy,45.5086,OUT010,1998,Tier 3,Grocery Store,-1.245413629417339
FDC14,12.8,Regular,Canned,43.6454,OUT019,1985,Tier 1,Grocery Store,-1.2795156362113207
FDV38,19.25,Low Fat,Dairy,55.7956,OUT010,1998,Tier 3,Grocery Store,-1.2549103908030048
NCS17,18.6,Low Fat,Health and Hygiene,96.4436,OUT018,2009,Tier 3,Supermarket Type2,0.4165196130741705
FDP33,18.7,Low Fat,Snack Foods,256.6672,OUT018,2009,Tier 3,Supermarket Type2,0.6280383893912719
FDO23,17.85,Low Fat,Breads,93.1436,OUT045,2002,Tier 2,Supermarket Type1,0.0487359448656599
DRH01,17.5,Low Fat,Soft Drinks,174.8738,OUT046,1997,Tier 1,Supermarket Type1,-0.009107965392486
NCX29,10.0,Low Fat,Health and Hygiene,146.7102,OUT049,1999,Tier 1,Supermarket Type1,1.0968330650655
FDV20,12.8,Regular,Fruits and Vegetables,128.0678,OUT027,1985,Tier 3,Supermarket Type3,0.4527799747285308
DRZ11,8.85,Regular,Soft Drinks,122.5388,OUT018,2009,Tier 3,Supermarket Type2,-0.317321039454548
FDX10,12.8,Regular,Snack Foods,36.9874,OUT027,1985,Tier 3,Supermarket Type3,-1.1094372732134885
FDB34,12.8,Low Fat,Snack Foods,87.6198,OUT027,1985,Tier 3,Supermarket Type3,0.0526209836143412
FDU02,13.35,Low Fat,Dairy,230.6352,OUT046,1997,Tier 1,Supermarket Type1,0.8663207659770673
FDK43,9.8,Low Fat,Meat,126.002,OUT013,1987,Tier 3,Supermarket Type1,0.0331957898709341
FDA46,13.6,Low Fat,Snack Foods,192.9136,OUT049,1999,Tier 1,Supermarket Type1,0.2775215600657897
FDC02,21.35,Low Fat,Canned,259.9278,OUT018,2009,Tier 3,Supermarket Type2,3.027265652188105
FDL50,12.15,Regular,Canned,126.5046,OUT013,1987,Tier 3,Supermarket Type1,-1.118934034599154
FDM39,6.42,Low Fat,Dairy,178.1002,OUT010,1998,Tier 3,Grocery Store,-1.1288624669568954
NCP05,19.6,Low Fat,Health and Hygiene,153.3024,OUT045,2002,Tier 2,Supermarket Type1,0.2136342561985837
FDV49,10.0,Low Fat,Canned,265.2226,OUT045,2002,Tier 2,Supermarket Type1,2.40911282017568
FDL12,15.85,Regular,Baking Goods,60.622,OUT046,1997,Tier 1,Supermarket Type1,0.3094652119993929
FDS02,12.8,Regular,Dairy,196.8794,OUT019,1985,Tier 1,Grocery Store,-0.8551830706608912
NCL17,7.39,Low Fat,Health and Hygiene,143.8812,OUT046,1997,Tier 1,Supermarket Type1,0.6712054865988435
FDM40,10.195,Low Fat,Frozen Foods,141.5154,OUT013,1987,Tier 3,Supermarket Type1,-0.8094259476208651
FDR13,9.895,Regular,Canned,117.0492,OUT013,1987,Tier 3,Supermarket Type1,-0.8353262059454082
FDA43,10.895,Low Fat,Fruits and Vegetables,196.3794,OUT017,2007,Tier 2,Supermarket Type1,0.662572067157329
NCP18,12.15,Low Fat,Household,151.4708,OUT017,2007,Tier 2,Supermarket Type1,1.7607430201179524
FDK21,7.905,Low Fat,Snack Foods,249.0408,OUT018,2009,Tier 3,Supermarket Type2,2.696605687578108
NCX54,9.195,Low Fat,Household,106.1622,OUT045,2002,Tier 2,Supermarket Type1,0.0116122412671482
DRK35,8.365,Low Fat,Hard Drinks,38.0506,OUT049,1999,Tier 1,Supermarket Type1,-0.8443912963589982
FDY21,15.1,Low Fat,Snack Foods,194.511,OUT046,1997,Tier 1,Supermarket Type1,1.82247196912478
FDI26,12.8,Low Fat,Canned,180.0344,OUT019,1985,Tier 1,Grocery Store,-0.7826623473521707
FDM20,10.0,Low Fat,Fruits and Vegetables,246.9144,OUT018,2009,Tier 3,Supermarket Type2,0.7040124804765978
FDV27,7.97,Regular,Meat,87.3514,OUT045,2002,Tier 2,Supermarket Type1,-0.6721545785007871
FDF09,12.8,Low Fat,Fruits and Vegetables,38.2848,OUT027,1985,Tier 3,Supermarket Type3,-1.0468449822625092
FDY40,12.8,Regular,Frozen Foods,51.0692,OUT019,1985,Tier 1,Grocery Store,-1.265270494132822
FDY45,12.8,Low Fat,Snack Foods,255.8356,OUT027,1985,Tier 3,Supermarket Type3,0.287881663395607
FDC46,17.7,Low Fat,Snack Foods,185.4266,OUT010,1998,Tier 3,Grocery Store,-1.2415285906686575
FDH19,19.35,Low Fat,Meat,172.5738,OUT035,2004,Tier 2,Supermarket Type1,1.793550013995707
FDZ03,13.65,Regular,Dairy,186.024,OUT045,2002,Tier 2,Supermarket Type1,-0.6358942168464269
DRH37,17.6,Low Fat,Soft Drinks,164.8526,OUT045,2002,Tier 2,Supermarket Type1,0.1316167715041975
NCI17,8.645,Low Fat,Health and Hygiene,95.841,OUT046,1997,Tier 1,Supermarket Type1,-0.0466633399630734
FDJ58,15.6,Regular,Snack Foods,170.1764,OUT046,1997,Tier 1,Supermarket Type1,0.8663207659770673
FDL12,15.85,Regular,Baking Goods,59.222,OUT013,1987,Tier 3,Supermarket Type1,-0.972597575065486
FDH35,18.25,Low Fat,Starchy Foods,164.7526,OUT045,2002,Tier 2,Supermarket Type1,1.624334992942026
FDG02,7.855,Low Fat,Canned,189.6188,OUT017,2007,Tier 2,Supermarket Type1,0.1203933262302287
NCZ18,7.825,Low Fat,Household,254.3698,OUT049,1999,Tier 1,Supermarket Type1,2.257164638005027
FDC29,8.39,Regular,Frozen Foods,114.0176,OUT046,1997,Tier 1,Supermarket Type1,0.1238466940068344
FDQ10,12.85,Low Fat,Snack Foods,172.3422,OUT049,1999,Tier 1,Supermarket Type1,-0.5784819775603567
FDN48,12.8,Low Fat,Baking Goods,89.9804,OUT019,1985,Tier 1,Grocery Store,-0.9441072909084888
FDL04,19.0,Low Fat,Frozen Foods,104.9622,OUT017,2007,Tier 2,Supermarket Type1,-0.3315661815330466
FDV25,5.905,Low Fat,Canned,222.5456,OUT045,2002,Tier 2,Supermarket Type1,2.07845285556568
FDD58,7.76,Low Fat,Snack Foods,101.87,OUT046,1997,Tier 1,Supermarket Type1,-0.2603404711405533
FDN04,11.8,Regular,Frozen Foods,180.3344,OUT046,1997,Tier 1,Supermarket Type1,-0.4355988858032943
FDV45,16.75,Low Fat,Snack Foods,187.9556,OUT018,2009,Tier 3,Supermarket Type2,1.6821789032001724
NCL18,12.8,Low Fat,Household,194.6136,OUT019,1985,Tier 1,Grocery Store,-0.9829576783953032
FDR12,12.8,Regular,Baking Goods,171.3764,OUT027,1985,Tier 3,Supermarket Type3,0.6435785443859975
FDG20,15.5,Regular,Fruits and Vegetables,177.0028,OUT017,2007,Tier 2,Supermarket Type1,0.246441250076338
FDZ55,6.055,Low Fat,Fruits and Vegetables,160.992,OUT035,2004,Tier 2,Supermarket Type1,0.4001161161352932
FDQ49,12.8,Regular,Breakfast,155.963,OUT027,1985,Tier 3,Supermarket Type3,0.7691947972600311
FDN33,6.305,Regular,Snack Foods,95.6436,OUT046,1997,Tier 1,Supermarket Type1,-0.9320205036903686
FDN27,20.85,Low Fat,Meat,117.2808,OUT049,1999,Tier 1,Supermarket Type1,-0.3734382658243911
FDW20,20.75,Low Fat,Fruits and Vegetables,122.173,OUT010,1998,Tier 3,Grocery Store,-1.1215240604316083
DRG27,8.895,Low Fat,Dairy,39.9138,OUT049,1999,Tier 1,Supermarket Type1,-0.9134586518911127
DRI25,19.6,Low Fat,Soft Drinks,55.1614,OUT045,2002,Tier 2,Supermarket Type1,-0.4653841828765188
FDA44,19.7,Low Fat,Fruits and Vegetables,57.893,OUT035,2004,Tier 2,Supermarket Type1,-0.957489091042836
NCR17,9.8,Low Fat,Health and Hygiene,114.5492,OUT035,2004,Tier 2,Supermarket Type1,-0.5348832093807092
FDU04,12.8,Low Fat,Frozen Foods,120.0414,OUT019,1985,Tier 1,Grocery Store,-1.0451182983742064
FDF41,12.15,Low Fat,Frozen Foods,246.046,OUT049,1999,Tier 1,Supermarket Type1,-0.5625101515935551
FDB56,8.75,Regular,Fruits and Vegetables,187.4556,OUT035,2004,Tier 2,Supermarket Type1,1.0735228325734114
NCP18,12.8,Low Fat,Household,149.9708,OUT027,1985,Tier 3,Supermarket Type3,1.4680701010506163
FDB56,8.75,Regular,Fruits and Vegetables,187.8556,OUT046,1997,Tier 1,Supermarket Type1,-0.5089829510561662
FDT28,13.3,Low Fat,Frozen Foods,151.0708,OUT045,2002,Tier 2,Supermarket Type1,-0.1904097736642872
FDD10,12.8,Regular,Snack Foods,178.5344,OUT027,1985,Tier 3,Supermarket Type3,0.4899036783270425
FDW57,8.31,Regular,Snack Foods,179.1028,OUT049,1999,Tier 1,Supermarket Type1,1.1650370786534632
DRB48,16.75,Regular,Soft Drinks,38.7822,OUT013,1987,Tier 3,Supermarket Type1,-0.9281354649416872
FDP09,19.75,Low Fat,Snack Foods,212.0902,OUT018,2009,Tier 3,Supermarket Type2,0.7044441514486737
FDH14,17.1,Regular,Canned,141.1838,OUT013,1987,Tier 3,Supermarket Type1,0.0962197517939887
FDA47,10.5,Regular,Baking Goods,163.121,OUT013,1987,Tier 3,Supermarket Type1,-0.1977481801895745
FDG12,6.635,Regular,Baking Goods,121.3098,OUT045,2002,Tier 2,Supermarket Type1,0.2796799149261684
DRE60,12.8,Low Fat,Soft Drinks,225.372,OUT019,1985,Tier 1,Grocery Store,-0.9207970584164
DRK49,14.15,Low Fat,Soft Drinks,41.4138,OUT013,1987,Tier 3,Supermarket Type1,-0.8344628640012568
FDD03,13.3,Low Fat,Dairy,232.53,OUT046,1997,Tier 1,Supermarket Type1,-0.9078469292541284
FDS52,8.89,Low Fat,Frozen Foods,102.4016,OUT017,2007,Tier 2,Supermarket Type1,0.4104762194651106
FDW39,12.8,Regular,Meat,176.937,OUT019,1985,Tier 1,Grocery Store,-1.2467086423335665
FDX34,12.8,Low Fat,Snack Foods,121.7098,OUT027,1985,Tier 3,Supermarket Type3,1.2954017122203298
FDV11,9.1,Regular,Breads,173.2054,OUT045,2002,Tier 2,Supermarket Type1,0.682428931872812
FDD17,7.5,Low Fat,Frozen Foods,239.0906,OUT049,1999,Tier 1,Supermarket Type1,2.491561975842141
FDZ16,16.85,Regular,Frozen Foods,192.4478,OUT017,2007,Tier 2,Supermarket Type1,1.7793048719172082
FDZ46,7.485,Low Fat,Snack Foods,109.0228,OUT035,2004,Tier 2,Supermarket Type1,0.2870183214514553
DRA12,11.6,Low Fat,Soft Drinks,140.3154,OUT017,2007,Tier 2,Supermarket Type1,0.293925057004667
FDY58,11.65,Low Fat,Snack Foods,227.0694,OUT018,2009,Tier 3,Supermarket Type2,-0.6207857328237769
NCF19,13.0,Low Fat,Household,47.5034,OUT017,2007,Tier 2,Supermarket Type1,-0.9199337164722486
DRJ13,12.65,Low Fat,Soft Drinks,159.0578,OUT045,2002,Tier 2,Supermarket Type1,-0.0086762944204105
FDB14,20.25,Regular,Canned,92.512,OUT010,1998,Tier 3,Grocery Store,-1.2402335777524305
FDJ38,8.6,Regular,Canned,190.153,OUT035,2004,Tier 2,Supermarket Type1,0.6073181827316372
FDW11,12.6,Low Fat,Breads,62.7194,OUT017,2007,Tier 2,Supermarket Type1,-0.7990658442910479
FDL40,17.7,Low Fat,Frozen Foods,95.041,OUT035,2004,Tier 2,Supermarket Type1,-0.7977708313748206
DRI49,14.15,Low Fat,Soft Drinks,82.4276,OUT046,1997,Tier 1,Supermarket Type1,-0.6238074296283068
FDV38,19.25,Low Fat,Dairy,52.7956,OUT017,2007,Tier 2,Supermarket Type1,-0.7593521148600819
DRG23,8.88,Low Fat,Hard Drinks,151.7682,OUT013,1987,Tier 3,Supermarket Type1,-0.8668381869069355
NCP30,20.5,Low Fat,Household,40.2822,OUT045,2002,Tier 2,Supermarket Type1,-0.90266687758922
FDY25,12.8,Low Fat,Canned,180.5976,OUT027,1985,Tier 3,Supermarket Type3,3.805136743868547
NCH54,13.5,Low Fat,Household,160.292,OUT046,1997,Tier 1,Supermarket Type1,-0.4286921502500829
NCR53,12.8,Low Fat,Health and Hygiene,224.4404,OUT027,1985,Tier 3,Supermarket Type3,3.161946995475729
FDS52,8.89,Low Fat,Frozen Foods,101.7016,OUT010,1998,Tier 3,Grocery Store,-1.295487462178122
FDG02,7.855,Low Fat,Canned,188.5188,OUT018,2009,Tier 3,Supermarket Type2,-0.7438119598653561
NCO26,7.235,Low Fat,Household,116.0492,OUT046,1997,Tier 1,Supermarket Type1,-0.0842187145336608
FDH35,12.8,Low Fat,Starchy Foods,165.4526,OUT027,1985,Tier 3,Supermarket Type3,2.050825913352834
FDB51,6.92,Low Fat,Dairy,60.5852,OUT045,2002,Tier 2,Supermarket Type1,-0.5089829510561662
FDX44,9.3,Low Fat,Fruits and Vegetables,90.8172,OUT017,2007,Tier 2,Supermarket Type1,-1.014037988384755
NCN07,18.5,Low Fat,Others,132.1284,OUT010,1998,Tier 3,Grocery Store,-1.1901597449916472
NCC31,8.02,Low Fat,Household,154.5972,OUT035,2004,Tier 2,Supermarket Type1,-0.4520023827421716
NCX54,9.195,Low Fat,Household,105.1622,OUT017,2007,Tier 2,Supermarket Type1,-0.2629304969730076
NCO55,12.8,Low Fat,Others,105.5938,OUT045,2002,Tier 2,Supermarket Type1,0.028879080150177
NCC30,16.6,Low Fat,Household,177.6344,OUT049,1999,Tier 1,Supermarket Type1,0.3742158578107503
FDI16,14.0,Regular,Frozen Foods,53.064,OUT035,2004,Tier 2,Supermarket Type1,-0.7740289279106563
FDP16,18.6,Low Fat,Frozen Foods,246.3802,OUT049,1999,Tier 1,Supermarket Type1,3.417496210944553
FDB11,16.0,Low Fat,Starchy Foods,226.8404,OUT035,2004,Tier 2,Supermarket Type1,2.7242326297909525
NCB06,17.6,Low Fat,Health and Hygiene,160.692,OUT035,2004,Tier 2,Supermarket Type1,-0.3250911169519108
FDA45,21.25,Low Fat,Snack Foods,178.237,OUT035,2004,Tier 2,Supermarket Type1,-1.017923027133436
NCO26,7.235,Low Fat,Household,117.5492,OUT035,2004,Tier 2,Supermarket Type1,-0.0842187145336608
DRJ25,14.6,Low Fat,Soft Drinks,50.3692,OUT017,2007,Tier 2,Supermarket Type1,-0.6902847593279673
FDR28,13.85,Regular,Frozen Foods,161.521,OUT018,2009,Tier 3,Supermarket Type2,-0.1977481801895745
FDI04,13.65,Regular,Frozen Foods,197.6426,OUT018,2009,Tier 3,Supermarket Type2,0.4337864519571993
DRK12,12.8,Low Fat,Soft Drinks,31.29,OUT027,1985,Tier 3,Supermarket Type3,-0.7783456376314135
FDX20,7.365,Low Fat,Fruits and Vegetables,226.172,OUT046,1997,Tier 1,Supermarket Type1,0.6936523771467807
NCI18,18.35,Low Fat,Household,223.5746,OUT018,2009,Tier 3,Supermarket Type2,0.9664684314986336
FDB36,5.465,Regular,Baking Goods,132.5626,OUT018,2009,Tier 3,Supermarket Type2,-1.1910230869357987
FDN13,18.6,Low Fat,Breakfast,99.8358,OUT017,2007,Tier 2,Supermarket Type1,-0.1226374310483996
DRD24,13.85,Low Fat,Soft Drinks,140.9154,OUT017,2007,Tier 2,Supermarket Type1,-0.2577504453080991
FDQ28,14.0,Regular,Frozen Foods,154.5656,OUT013,1987,Tier 3,Supermarket Type1,0.2412611984114294
FDM22,14.0,Regular,Snack Foods,54.764,OUT013,1987,Tier 3,Supermarket Type1,-0.4977595057821976
FDR07,12.8,Low Fat,Fruits and Vegetables,97.0094,OUT027,1985,Tier 3,Supermarket Type3,-0.1882514188039087
FDV25,5.905,Low Fat,Canned,222.5456,OUT018,2009,Tier 3,Supermarket Type2,0.7886199910034385
DRF49,7.27,Low Fat,Soft Drinks,114.2518,OUT046,1997,Tier 1,Supermarket Type1,0.3366604832401628
FDW51,6.155,Regular,Meat,214.556,OUT046,1997,Tier 1,Supermarket Type1,0.4346497939013506
DRL01,19.5,Regular,Soft Drinks,233.4958,OUT017,2007,Tier 2,Supermarket Type1,2.12377830763363
FDP25,15.2,Low Fat,Canned,216.8824,OUT017,2007,Tier 2,Supermarket Type1,0.4795435749972251
FDL50,12.15,Regular,Canned,125.0046,OUT018,2009,Tier 3,Supermarket Type2,-0.2309868450394046
NCB30,12.8,Low Fat,Household,198.8084,OUT027,1985,Tier 3,Supermarket Type3,2.240761141066149
FDW11,12.6,Low Fat,Breads,61.9194,OUT018,2009,Tier 3,Supermarket Type2,-0.9596474459032144
NCM43,14.5,Low Fat,Others,164.821,OUT035,2004,Tier 2,Supermarket Type1,0.0137705961275267
FDK44,16.6,Low Fat,Fruits and Vegetables,173.0738,OUT017,2007,Tier 2,Supermarket Type1,1.1175532717251346
FDM15,11.8,Regular,Meat,151.4366,OUT013,1987,Tier 3,Supermarket Type1,-0.4791976539829418
FDS31,13.1,Regular,Fruits and Vegetables,178.8318,OUT013,1987,Tier 3,Supermarket Type1,1.2125208855817924
FDI32,17.7,Low Fat,Fruits and Vegetables,115.1834,OUT010,1998,Tier 3,Grocery Store,-1.137064215426334
FDR47,17.85,Low Fat,Breads,196.5794,OUT010,1998,Tier 3,Grocery Store,-0.981662665479076
FDB35,12.3,Regular,Starchy Foods,92.6804,OUT045,2002,Tier 2,Supermarket Type1,-0.705824914322693
NCU05,11.8,Low Fat,Health and Hygiene,81.4618,OUT010,1998,Tier 3,Grocery Store,-1.2566370746913078
DRY23,12.8,Regular,Soft Drinks,42.1112,OUT019,1985,Tier 1,Grocery Store,-1.3334745077207852
FDO24,11.1,Low Fat,Baking Goods,157.4604,OUT045,2002,Tier 2,Supermarket Type1,0.5909146857927602
FDQ28,12.8,Regular,Frozen Foods,153.0656,OUT027,1985,Tier 3,Supermarket Type3,2.5446575054074545
FDV39,11.3,Low Fat,Meat,198.1426,OUT045,2002,Tier 2,Supermarket Type1,-0.7200700564011917
NCO17,12.8,Low Fat,Health and Hygiene,117.944,OUT019,1985,Tier 1,Grocery Store,-1.205699899986373
FDU50,5.75,Regular,Dairy,112.8176,OUT013,1987,Tier 3,Supermarket Type1,-0.4701325635693517
FDT12,12.8,Regular,Baking Goods,226.8062,OUT027,1985,Tier 3,Supermarket Type3,1.7119642002733968
FDK58,11.35,Regular,Snack Foods,100.0016,OUT018,2009,Tier 3,Supermarket Type2,-0.7049615723785415
FDO08,12.8,Regular,Fruits and Vegetables,165.7526,OUT019,1985,Tier 1,Grocery Store,-0.9346105295228232
NCW29,14.0,Low Fat,Health and Hygiene,130.431,OUT049,1999,Tier 1,Supermarket Type1,-0.8560464126050426
FDE04,19.75,Regular,Frozen Foods,179.766,OUT045,2002,Tier 2,Supermarket Type1,0.1540636620521348
NCB19,6.525,Low Fat,Household,85.0882,OUT049,1999,Tier 1,Supermarket Type1,0.0867229904083227
FDV15,10.3,Low Fat,Meat,103.9648,OUT049,1999,Tier 1,Supermarket Type1,-0.283650703632642
FDL58,5.78,Regular,Snack Foods,264.7568,OUT049,1999,Tier 1,Supermarket Type1,1.715849239022078
FDA08,11.85,Regular,Fruits and Vegetables,164.1526,OUT045,2002,Tier 2,Supermarket Type1,0.6647304220177077
FDT43,16.35,Low Fat,Fruits and Vegetables,50.1324,OUT018,2009,Tier 3,Supermarket Type2,-1.058068427536478
NCX06,12.8,Low Fat,Household,182.5976,OUT027,1985,Tier 3,Supermarket Type3,1.9265046733950275
FDT20,10.5,Low Fat,Fruits and Vegetables,37.6164,OUT046,1997,Tier 1,Supermarket Type1,-1.010584620608149
FDB41,19.0,Regular,Frozen Foods,48.0718,OUT046,1997,Tier 1,Supermarket Type1,-0.7174800305687373
NCN55,14.6,Low Fat,Others,238.8538,OUT049,1999,Tier 1,Supermarket Type1,2.534729073049713
FDE40,12.8,Regular,Dairy,62.9194,OUT027,1985,Tier 3,Supermarket Type3,0.0038421637697852
FDX49,12.8,Regular,Canned,232.63,OUT027,1985,Tier 3,Supermarket Type3,2.1138498752758887
NCM53,18.75,Low Fat,Health and Hygiene,104.628,OUT045,2002,Tier 2,Supermarket Type1,-0.8776299612088284
FDE36,5.26,Regular,Baking Goods,161.8868,OUT035,2004,Tier 2,Supermarket Type1,0.7627197326788953
FDN57,18.25,Low Fat,Snack Foods,140.2154,OUT045,2002,Tier 2,Supermarket Type1,-0.2577504453080991
FDI24,12.8,Low Fat,Baking Goods,177.937,OUT027,1985,Tier 3,Supermarket Type3,2.985825238868837
FDI19,15.1,Low Fat,Meat,242.7512,OUT046,1997,Tier 1,Supermarket Type1,1.3100785252709044
FDF24,15.5,Regular,Baking Goods,81.5934,OUT010,1998,Tier 3,Grocery Store,-1.1487193316723785
FDG52,13.65,Low Fat,Frozen Foods,45.7402,OUT049,1999,Tier 1,Supermarket Type1,-0.8547513996888153
DRF36,16.1,Low Fat,Soft Drinks,189.3846,OUT045,2002,Tier 2,Supermarket Type1,0.9928003607952524
FDS45,12.8,Regular,Snack Foods,107.3622,OUT019,1985,Tier 1,Grocery Store,-1.155194396253514
FDX40,12.85,Low Fat,Frozen Foods,39.7164,OUT010,1998,Tier 3,Grocery Store,-1.2108799516512816
DRK12,9.5,Low Fat,Soft Drinks,32.99,OUT035,2004,Tier 2,Supermarket Type1,-1.2747672555184877
DRC27,13.8,Low Fat,Dairy,245.1802,OUT035,2004,Tier 2,Supermarket Type1,2.302490090072977
FDL58,5.78,Regular,Snack Foods,263.7568,OUT017,2007,Tier 2,Supermarket Type1,0.3483155994862074
NCD30,19.7,Low Fat,Household,96.0726,OUT045,2002,Tier 2,Supermarket Type1,-0.5361782222969363
NCZ54,14.65,Low Fat,Household,161.5552,OUT010,1998,Tier 3,Grocery Store,-1.1504460155606813
FDE10,6.67,Regular,Snack Foods,130.0626,OUT010,1998,Tier 3,Grocery Store,-1.276062268434715
FDR44,6.11,Regular,Fruits and Vegetables,131.2968,OUT010,1998,Tier 3,Grocery Store,-1.1918864288799502
FDP28,13.65,Regular,Frozen Foods,260.0936,OUT010,1998,Tier 3,Grocery Store,-1.1918864288799502
FDX15,17.2,Low Fat,Meat,160.6578,OUT013,1987,Tier 3,Supermarket Type1,1.031650748282067
FDA39,6.32,Low Fat,Meat,40.2822,OUT035,2004,Tier 2,Supermarket Type1,-0.6225124167120797
FDY24,4.88,Regular,Baking Goods,52.9298,OUT049,1999,Tier 1,Supermarket Type1,-0.067383546622708
FDC60,5.425,Regular,Baking Goods,88.3514,OUT017,2007,Tier 2,Supermarket Type1,-0.4425056213565058
FDH28,15.85,Regular,Frozen Foods,37.2506,OUT046,1997,Tier 1,Supermarket Type1,-1.1888647320754202
FDT25,7.5,Low Fat,Canned,121.7072,OUT017,2007,Tier 2,Supermarket Type1,0.9422948570623936
DRJ13,12.65,Low Fat,Soft Drinks,161.5578,OUT013,1987,Tier 3,Supermarket Type1,0.1993891141200851
NCO07,12.8,Low Fat,Others,211.956,OUT019,1985,Tier 1,Grocery Store,-1.2229667388694017
FDW20,20.75,Low Fat,Fruits and Vegetables,124.173,OUT013,1987,Tier 3,Supermarket Type1,0.5555176660825514
DRF27,12.8,Low Fat,Dairy,152.134,OUT019,1985,Tier 1,Grocery Store,-1.261817126356216
FDS49,9.0,Low Fat,Canned,79.7644,OUT035,2004,Tier 2,Supermarket Type1,-0.2914207811300049
FDX25,12.8,Low Fat,Canned,181.9292,OUT027,1985,Tier 3,Supermarket Type3,0.6496219379950577
NCX42,12.8,Low Fat,Household,165.6526,OUT027,1985,Tier 3,Supermarket Type3,1.730957723044728
FDG33,12.8,Regular,Seafood,170.4764,OUT027,1985,Tier 3,Supermarket Type3,0.8663207659770673
FDL56,14.1,Low Fat,Fruits and Vegetables,86.4198,OUT045,2002,Tier 2,Supermarket Type1,-0.6259657844886853
FDF14,7.55,Low Fat,Canned,152.334,OUT035,2004,Tier 2,Supermarket Type1,0.3267320508824213
NCD06,13.0,Low Fat,Household,45.406,OUT046,1997,Tier 1,Supermarket Type1,-0.9682808653447288
DRM47,12.8,Low Fat,Hard Drinks,192.8846,OUT027,1985,Tier 3,Supermarket Type3,0.1255733778951373
FDS46,12.8,Regular,Snack Foods,118.7782,OUT019,1985,Tier 1,Grocery Store,-1.2838323459320775
FDB35,12.3,Regular,Starchy Foods,92.9804,OUT013,1987,Tier 3,Supermarket Type1,-0.1101189728582039
